,date,id,content,hashtags
0,2020-08-30 23:48:10+00:00,1300218789389369346,"@Rustyg62 #QuestionOfTheDay #COVID19

Great question!
~ medically, your #quarantine 
~ should be 14 days .. not 7
~ papers you received when you got your results
~ or your doctor, should have told you the same
~ best wishes ...","['QuestionOfTheDay', 'COVID19', 'quarantine']"
1,2020-08-30 23:47:05+00:00,1300218513550987264,"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety#onlineshopping #socialdistancing #Quarantine
CDC recommends the use of cloth face coverings to supplement social distancing in fight against spread of  #covid19
https://t.co/U3PLC00eep https://t.co/vYTKto7g3g","['facemasks', 'facemasks4all', 'gifts', 'shoppingonline', 'socialdistancing', 'Quarantine', 'covid19']"
2,2020-08-30 23:35:52+00:00,1300215690104680449,"As the virus changes its strategy, we don't! Continue to wash your hands, social distance, and WEAR A MASK. https://t.co/g7danBwHva
#coronavirus #covid19 #corona #virus #quarantine #socialdistancing #pandemic #graphic #health #publichealth #english #letschat #uwchat https://t.co/75SI1XhFaT","['coronavirus', 'covid19', 'corona', 'virus', 'quarantine', 'socialdistancing', 'pandemic', 'graphic', 'health', 'publichealth', 'english', 'letschat', 'uwchat']"
3,2020-08-30 23:27:18+00:00,1300213535688007681,"Once #COVID19 is over, what’s the first thing you will pursue? #cardiotwitter #MedTwitter #MedStudentTwitter #coronavirus #Quarantine @BCMDeptMedicine @BCMIDFellowship @BCMHeart @Texas_Heart @HoustonChron @AKUGlobal @srf_aku @AKUAANA @AkuCardiology @mmamas1973 @ShariqShamimMD","['COVID19', 'cardiotwitter', 'MedTwitter', 'MedStudentTwitter', 'coronavirus', 'Quarantine']"
4,2020-08-30 23:10:30+00:00,1300209306562949120,"COVID-19 arrest 
https://t.co/xmqMVkt2CB
#AliceSprings #Australia #Border #Coronavirus #Court #Covid19 #FireAndEmergencyServices #Hospital #Hotel #NorthernTerritory #NTPolice #Police #Quarantine #Queensland #TennantCreek #Testing #Victoria https://t.co/WdBeM8UJr1","['AliceSprings', 'Australia', 'Border', 'Coronavirus', 'Court', 'Covid19', 'FireAndEmergencyServices', 'Hospital', 'Hotel', 'NorthernTerritory', 'NTPolice', 'Police', 'Quarantine', 'Queensland', 'TennantCreek', 'Testing', 'Victoria']"
5,2020-08-30 23:00:00+00:00,1300206667640995843,"Remind PPL
-Stay Home
-Stay 6 Ft Apart
-Wear A Mask
-Wash Hands

https://t.co/A5uQgfxHcl

#SixFeetApart #SocialDistance #covid19 #coronavirus #outbreak #pandemic #Quarantine #Teachers #shopping #Virus #covid #COVID_19 #PPE #WearMask #mask #corona #gym #nurse #doctor #work #Flu #Q https://t.co/JxoXQZQkvA","['SixFeetApart', 'SocialDistance', 'covid19', 'coronavirus', 'outbreak', 'pandemic', 'Quarantine', 'Teachers', 'shopping', 'Virus', 'covid', 'COVID_19', 'PPE', 'WearMask', 'mask', 'corona', 'gym', 'nurse', 'doctor', 'work', 'Flu', 'Q']"
6,2020-08-30 22:56:46+00:00,1300205851857293312,"@CovidDashboards LOVING this new twitter account that shares and rates different University #COVID19 dashboards. It also shows where schools are with #testing, #cases, &amp; #isolation, &amp; #quarantine - Baylor has a pretty high test positivity!","['COVID19', 'testing', 'cases', 'isolation', 'quarantine']"
7,2020-08-30 22:15:05+00:00,1300195361735274496,"Just arrived from French #COVID19 hotspot #Hérault in Basel w/ crammed easyJet flight &amp; airport bus w/ people coughing. No #tests, no #quarantine at airport. This feels wrong. Home office for me! What is⁦⁦ ⁦@BAG_OFSP_UFSP⁩ plan for #France? Country or regions on list? https://t.co/5lVlMUhfAB","['COVID19', 'Hérault', 'tests', 'quarantine', 'France']"
8,2020-08-30 21:42:02+00:00,1300187045319577602,"While #socialdistancing is necessary, many of us have found ourselves with a lot of time on our hands. If you’re wondering what you can do to have fun and stay safe, here are 31 ideas: https://t.co/DQAo5thAUZ 

@ApartmentGuide 

#covid #covid19 #quarantine #keepbusy #thingstodo https://t.co/wQpLjAgvqU","['socialdistancing', 'covid', 'covid19', 'quarantine', 'keepbusy', 'thingstodo']"
9,2020-08-30 21:32:33+00:00,1300184656638291970,"Update 30th August 2020 @ 22:25 hrs UTC: Coronavirus Confirmed Cases and Deaths by Country, Territory, or Conveyance Subject To Change: #coronavirus #COVID19 #pandemic #quarantine #GlobalEmergency #HealthEmergency https://t.co/ktpNbbNrs1","['coronavirus', 'COVID19', 'pandemic', 'quarantine', 'GlobalEmergency', 'HealthEmergency']"
10,2020-08-30 21:07:46+00:00,1300178420287057920,"@realDonaldTrump erred on the side of caution with #commerceclause #quarantine by temp closing BORDERS AGAINST incoming threat in #covid19; but, when it passed to the state #governors to do FOR BENEFIT of residents, they closed down RESIDENTS not borders! #endmandates #endmasks","['commerceclause', 'quarantine', 'covid19', 'governors', 'endmandates', 'endmasks']"
11,2020-08-30 20:51:05+00:00,1300174221327437825,"Interesting - first time I've heard of anywhere using this kind of approach. A general route for isolated communities to ease their way out of lockdown?

#islands #Brazil #Atlantic #coronavirus #covid19 #lockdown #Quarantine #Immunity 

via @guardian

https://t.co/TZl47xeEFo","['islands', 'Brazil', 'Atlantic', 'coronavirus', 'covid19', 'lockdown', 'Quarantine', 'Immunity']"
12,2020-08-30 20:32:18+00:00,1300169496976449536,"Disappointed &amp; sad to see what happened in #Killarney last night. Drunks, disrespectful, no social distancing &amp; no masks. Those don’t all look like tourists, stop blaming tourists. Boredom causes this. #Ireland #covid19 #StayHome #StayAtHome #Quarantine 

https://t.co/igpGlxiGrW","['Killarney', 'Ireland', 'covid19', 'StayHome', 'StayAtHome', 'Quarantine']"
13,2020-08-30 20:07:52+00:00,1300163348718206976,"WTF Simpsons!?!

This is from 2002

#Simpsons #SimpsonsDidIt #Corona #CoronaVirus #SocialDistancing #Covid19 #PandaVirus #Virus #Contagius #Infected #Flu #Disease #quarantine #ShelterInPlace https://t.co/L2dcXFHhP8","['Simpsons', 'SimpsonsDidIt', 'Corona', 'CoronaVirus', 'SocialDistancing', 'Covid19', 'PandaVirus', 'Virus', 'Contagius', 'Infected', 'Flu', 'Disease', 'quarantine', 'ShelterInPlace']"
14,2020-08-30 20:07:17+00:00,1300163202240577536,Subscribe @ https://t.co/J4O6N5585z |#Covid_19 #job #Viral #Quarantine #SocialDistancing #COVID19 #CoronaWillEndSoon #USA #StayHomeStaySafe #lockdown #Mentalhealth https://t.co/fJ3dGg49zM,"['Covid_19', 'job', 'Viral', 'Quarantine', 'SocialDistancing', 'COVID19', 'CoronaWillEndSoon', 'USA', 'StayHomeStaySafe', 'lockdown', 'Mentalhealth']"
